id,label
Trump Soho,Trump Soho
Trump administration,Trump administration
Trump administration Huawei prohibition policy,Trump administration Huawei prohibition policy
Trump administration financial disclosure loopholes,Trump administration financial disclosure loopholes
Trump administration legal crisis,Trump administration legal crisis
Trump administration legal funding,Trump administration legal funding
Trump administration officials,Trump administration officials
Trump administration personnel appointments,Trump administration personnel appointments
Trump and Bill Gates relationship dynamics,Trump and Bill Gates relationship dynamics
Trump and Nikki Haley,Trump and Nikki Haley
Trump associates,Trump associates
Trump campaign,Trump campaign
Trump campaign and transition activities,Trump campaign and transition activities
Trump casino,Trump casino
Trump comment about unspecified recipient,Trump comment about unspecified recipient
Trump family internal conflicts,Trump family internal conflicts
Trump presidency,Trump presidency
Trump presidency economic validation through currency markets,Trump presidency economic validation through currency markets
Trump rape lawsuit,Trump rape lawsuit
Trump real estate deal involving Russian oligarch and Jeffrey Epstein,Trump real estate deal involving Russian oligarch and Jeffrey Epstein
Trump stock market warning,Trump stock market warning
Trump's World Bank President nomination,Trump's World Bank President nomination
Trump's accusations against Bill Clinton,Trump's accusations against Bill Clinton
Trump's alleged disloyalty concerns regarding Pence,Trump's alleged disloyalty concerns regarding Pence
Trump's consideration of Mike Pompeo as VP,Trump's consideration of Mike Pompeo as VP
Trump's credibility and behavior patterns,Trump's credibility and behavior patterns
Trump's estate,Trump's estate
Trump's financial dealings and tax reporting,Trump's financial dealings and tax reporting
Trump's legal exposure,Trump's legal exposure
Trump's media positioning,Trump's media positioning
Trump's real estate transaction details,Trump's real estate transaction details
Trump's tax practices,Trump's tax practices
Trump's undisclosed payments,Trump's undisclosed payments
Trump-related issues,Trump-related issues
Tuesday,Tuesday
Turkey,Turkey
Turkish currency markets,Turkish currency markets
"Twin City Care, Inc.","Twin City Care, Inc."
Twin City Mobile Integrated Health Services,Twin City Mobile Integrated Health Services
Tyler Shears,Tyler Shears
U.S. Attorney Acosta,U.S. Attorney Acosta
U.S. Attorney R. Alexander Acosta,U.S. Attorney R. Alexander Acosta
U.S. Attorney for South Florida,U.S. Attorney for South Florida
U.S. Attorney for the Southern District of Florida,U.S. Attorney for the Southern District of Florida
U.S. Attorney's Office for the Southern District of Florida,U.S. Attorney's Office for the Southern District of Florida
U.S. Department of Justice,U.S. Department of Justice
U.S. Department of Justice Criminal Division,U.S. Department of Justice Criminal Division
U.S. District Court for the Southern District of Florida,U.S. District Court for the Southern District of Florida
U.S. District Court for the Southern District of New York,U.S. District Court for the Southern District of New York
U.S. District Judge,U.S. District Judge
U.S. District Judge Kenneth A. Marra,U.S. District Judge Kenneth A. Marra
U.S. Government,U.S. Government
U.S. Securities and Exchange Commission,U.S. Securities and Exchange Commission
U.S. Virgin Islands,U.S. Virgin Islands
U.S. authorities,U.S. authorities
U.S. legal case,U.S. legal case
UN Millennium Development Goals Summit and related events,UN Millennium Development Goals Summit and related events
UN president,UN president
US Attorney Acosta,US Attorney Acosta
US News article on Russian sanctions,US News article on Russian sanctions
US military deployment to Middle East,US military deployment to Middle East
US-India diplomatic developments,US-India diplomatic developments
USAO,USAO
USD 3.5 million,USD 3.5 million
Ukraine investigation,Ukraine investigation
United States,United States
United States Attorney,United States Attorney
United States Attorney's Office,United States Attorney's Office
United States Attorney's Office Southern District of Florida,United States Attorney's Office Southern District of Florida
United States Attorney's Office for the Southern District of Florida,United States Attorney's Office for the Southern District of Florida
United States Attorney's Office in Miami,United States Attorney's Office in Miami
"United States Attorney's Office, Miami","United States Attorney's Office, Miami"
United States Congress,United States Congress
United States Court,United States Court
United States Department of Justice,United States Department of Justice
United States District Court,United States District Court
United States Federal Bureau of Investigation,United States Federal Bureau of Investigation
United States Justice Department,United States Justice Department
United States criminal court,United States criminal court
United States federal authorities,United States federal authorities
United States federal prosecutors,United States federal prosecutors
United States foreign policy,United States foreign policy
United States justice system,United States justice system
United States leadership,United States leadership
United States legal system,United States legal system
United States military operations,United States military operations
United States on Tuesday,United States on Tuesday
United States to Asian countries,United States to Asian countries
United States v. Boehm,United States v. Boehm
Unknown Lawyer,Unknown Lawyer
Unknown Person A (HOUSE_OVERSIGHT_010802),Unknown Person A (HOUSE_OVERSIGHT_010802)
Unknown defendant,Unknown defendant
Unknown female associate,Unknown female associate
Unknown government official,Unknown government official
Unknown person (HOUSE_OVERSIGHT_011305),Unknown person (HOUSE_OVERSIGHT_011305)
Unknown person (HOUSE_OVERSIGHT_031694) (HOUSE_OVERSIGHT_031694),Unknown person (HOUSE_OVERSIGHT_031694) (HOUSE_OVERSIGHT_031694)
Unknown person (TEXT-001-HOUSE_OVERSIGHT_023291_part1),Unknown person (TEXT-001-HOUSE_OVERSIGHT_023291_part1)
Unknown person (TEXT-001-HOUSE_OVERSIGHT_030575),Unknown person (TEXT-001-HOUSE_OVERSIGHT_030575)
Unknown person A (HOUSE_OVERSIGHT_012355),Unknown person A (HOUSE_OVERSIGHT_012355)
Unknown person A (HOUSE_OVERSIGHT_023304),Unknown person A (HOUSE_OVERSIGHT_023304)
Unknown person A (HOUSE_OVERSIGHT_025491),Unknown person A (HOUSE_OVERSIGHT_025491)
Unknown person A (HOUSE_OVERSIGHT_026287) (HOUSE_OVERSIGHT_026287),Unknown person A (HOUSE_OVERSIGHT_026287) (HOUSE_OVERSIGHT_026287)
Unknown person A (HOUSE_OVERSIGHT_027735) (HOUSE_OVERSIGHT_027735),Unknown person A (HOUSE_OVERSIGHT_027735) (HOUSE_OVERSIGHT_027735)
Unknown person A (HOUSE_OVERSIGHT_030308),Unknown person A (HOUSE_OVERSIGHT_030308)
Unknown person A (HOUSE_OVERSIGHT_030528) (HOUSE_OVERSIGHT_030528),Unknown person A (HOUSE_OVERSIGHT_030528) (HOUSE_OVERSIGHT_030528)
Unknown person A (HOUSE_OVERSIGHT_031054) (HOUSE_OVERSIGHT_031054),Unknown person A (HOUSE_OVERSIGHT_031054) (HOUSE_OVERSIGHT_031054)
Unknown person A (TEXT-001-HOUSE_OVERSIGHT_025436),Unknown person A (TEXT-001-HOUSE_OVERSIGHT_025436)
Unknown person A (TEXT-001-HOUSE_OVERSIGHT_027792),Unknown person A (TEXT-001-HOUSE_OVERSIGHT_027792)
Unknown person B (HOUSE_OVERSIGHT_012355),Unknown person B (HOUSE_OVERSIGHT_012355)
Unknown person B (HOUSE_OVERSIGHT_030308),Unknown person B (HOUSE_OVERSIGHT_030308)
Unknown persons (HOUSE_OVERSIGHT_030528) (HOUSE_OVERSIGHT_030528),Unknown persons (HOUSE_OVERSIGHT_030528) (HOUSE_OVERSIGHT_030528)
Unknown recipients,Unknown recipients
Unknown witness,Unknown witness
Unknown woman (HOUSE_OVERSIGHT_031714) (HOUSE_OVERSIGHT_031714),Unknown woman (HOUSE_OVERSIGHT_031714) (HOUSE_OVERSIGHT_031714)
V.I. Justice Department,V.I. Justice Department
V.S. Naipaul literary event,V.S. Naipaul literary event
Valeria Chomsky,Valeria Chomsky
Vancouver,Vancouver
Vanity Fair,Vanity Fair
Vanity Fair article,Vanity Fair article
Various women in their twenties and thirties,Various women in their twenties and thirties
Vatican scandal documentary,Vatican scandal documentary
Venezuela,Venezuela
Venice Film Festival,Venice Film Festival
"Vernon Jordan, Josh Bolton, Jared Kushner","Vernon Jordan, Josh Bolton, Jared Kushner"
Verse Video Education,Verse Video Education
Viceland media inquiry,Viceland media inquiry
Vicki Ward,Vicki Ward
Vicky Ward,Vicky Ward
Vicky Ward's article,Vicky Ward's article
Victim #1 in Bear Stearns Mortgage Investment Fund Ponzi scheme,Victim #1 in Bear Stearns Mortgage Investment Fund Ponzi scheme
Victoria Ward,Victoria Ward
Victoria's Secret,Victoria's Secret
Victoria's Secret (with victim),Victoria's Secret (with victim)
Victoria's Secret fashion show,Victoria's Secret fashion show
Vienna,Vienna
Vienna and commented on geopolitical interests,Vienna and commented on geopolitical interests
Viktor Orban,Viktor Orban
Villafafia,Villafafia
Vinit Sahni,Vinit Sahni
Virginia,Virginia
Virginia Hughes,Virginia Hughes
Virginia Ransome,Virginia Ransome
Virginia Roberts Giuffre,Virginia Roberts Giuffre
Virginia Roberts's mother,Virginia Roberts's mother
Virginia Ruffin (VR) allegations,Virginia Ruffin (VR) allegations
Vladimir Putin,Vladimir Putin
Volcker Rule regulatory debates,Volcker Rule regulatory debates
Wall Street Rising concert series at Cipriani,Wall Street Rising concert series at Cipriani
Warren Eisenstein,Warren Eisenstein
Washington DC,Washington DC
Washington Post article,Washington Post article
Washington Post article about Trump's financial practices,Washington Post article about Trump's financial practices
"Washington, D.C.","Washington, D.C."
"Washington, DC","Washington, DC"
Watson,Watson
Watson footage retrieval,Watson footage retrieval
Wayne Black,Wayne Black
Weingarten meeting,Weingarten meeting
"Weisselberg, Cohen, and Pecker collaboration","Weisselberg, Cohen, and Pecker collaboration"
Wendy Dobbs,Wendy Dobbs
Wendy Dolman,Wendy Dolman
West Palm Beach office,West Palm Beach office
West Palm Beach office building,West Palm Beach office building
Western Union,Western Union
Wexner Foundation,Wexner Foundation
WhatsApp obstruction of justice,WhatsApp obstruction of justice
White House,White House
White House press conference mentioning his name,White House press conference mentioning his name
Wikipedia,Wikipedia
Wilbur Ross,Wilbur Ross
William Barr,William Barr
William Barr testimony,William Barr testimony
William Clinton,William Clinton
Windsor royal event attendance,Windsor royal event attendance
"Wittgenstein, Chomsky, Thiel, and other academics","Wittgenstein, Chomsky, Thiel, and other academics"
Women in the World Summit,Women in the World Summit
Women in their twenties and thirties,Women in their twenties and thirties
Woodward book and Trump,Woodward book and Trump
Woodward book and political strategy effectiveness,Woodward book and political strategy effectiveness
Woodward's credibility and Trump's denial claims,Woodward's credibility and Trump's denial claims
Woody Allen,Woody Allen
Woody Allen media release,Woody Allen media release
World Bank meeting and John Kerry,World Bank meeting and John Kerry
World Cup Final,World Cup Final
World Economic Forum Annual Meeting 2011,World Economic Forum Annual Meeting 2011
Xi Jinping,Xi Jinping
Xi Jinping regarding civilizational superiority,Xi Jinping regarding civilizational superiority
"Xi, Putin talks and international relations","Xi, Putin talks and international relations"
Yahoo,Yahoo
Yemen,Yemen
Yemen geopolitical situation,Yemen geopolitical situation
Yom Kippur Break Fast gathering,Yom Kippur Break Fast gathering
YouTube video,YouTube video
Zorro Ranch,Zorro Ranch
Zorro ranch,Zorro ranch
Zubair Khan,Zubair Khan
academic discussion on evolutionary biology,academic discussion on evolutionary biology
academic institutions and research,academic institutions and research
"academicians, businesspeople, and royalty","academicians, businesspeople, and royalty"
accommodation for recipient and his team,accommodation for recipient and his team
address book,address book
addressee,addressee
adult male peers,adult male peers
"adult male peers including royalty, politicians, and businessmen","adult male peers including royalty, politicians, and businessmen"
"adult male peers, including royalty","adult male peers, including royalty"
adult women,adult women
advanced science and technology sectors,advanced science and technology sectors
advanced scientific research,advanced scientific research
aircraft,aircraft
aircraft purchase offer,aircraft purchase offer
aircraft sale negotiation,aircraft sale negotiation
airplane,airplane
all communications,all communications
all communications and information,all communications and information
allegations against multiple figures,allegations against multiple figures
allegations of Trump-Saudi financial dealings,allegations of Trump-Saudi financial dealings
allegations of child molestation,allegations of child molestation
allegations of sexual encounters with minors,allegations of sexual encounters with minors
allegations of sexual misconduct,allegations of sexual misconduct
alleged accusers,alleged accusers
alleged female victims,alleged female victims
alleged illicit affair with secretary,alleged illicit affair with secretary
alleged insider trading and improper conduct,alleged insider trading and improper conduct
alleged molestation of underage women,alleged molestation of underage women
alleged sexual abuse victims,alleged sexual abuse victims
alleged sexual assault claims,alleged sexual assault claims
alleged sexual assault of minor,alleged sexual assault of minor
alleged social gatherings and meetings,alleged social gatherings and meetings
alleged trafficking,alleged trafficking
alleged victim,alleged victim
alleged victim representative,alleged victim representative
alleged victims,alleged victims
alleged victims through U.S. Attorney's Office,alleged victims through U.S. Attorney's Office
amfar Gala and lifeball,amfar Gala and lifeball
an unnamed woman ('our girl'),an unnamed woman ('our girl')
annual high-level summit or conference,annual high-level summit or conference
anonymous editorial authorship (TEXT-001-HOUSE_OVERSIGHT_025368),anonymous editorial authorship (TEXT-001-HOUSE_OVERSIGHT_025368)
anonymous op-ed authorship (TEXT-001-HOUSE_OVERSIGHT_025368),anonymous op-ed authorship (TEXT-001-HOUSE_OVERSIGHT_025368)
apartment and accommodation arrangements,apartment and accommodation arrangements
appeal to Washington D.C. was rejected,appeal to Washington D.C. was rejected
approximately 23-24 minors,approximately 23-24 minors
approximately 30 women victims,approximately 30 women victims
approximately thirty-four (34) other young girls,approximately thirty-four (34) other young girls
approximately twenty underage girls,approximately twenty underage girls
approximately two dozen young women,approximately two dozen young women
arrival in New York City,arrival in New York City
arrival of unnamed female associate,arrival of unnamed female associate
art dealer (unknown),art dealer (unknown)
art expert,art expert
art sale transaction,art sale transaction
article about Biosphere 2,article about Biosphere 2
article about Michael Avenatti extortion case,article about Michael Avenatti extortion case
article about Saudi Crown Prince,article about Saudi Crown Prince
article about Senate investigating Epstein-related matters,article about Senate investigating Epstein-related matters
assault allegations involving Donald Trump and Jeffrey Epstein,assault allegations involving Donald Trump and Jeffrey Epstein
asserted victims,asserted victims
assistant,assistant
associates and academicians,associates and academicians
attend meeting in Paris,attend meeting in Paris
attendance at scheduled event,attendance at scheduled event
attorney author,attorney author
attorney's office,attorney's office
attorney-client communication,attorney-client communication
attorney-client privileged information,attorney-client privileged information
authorities,authorities
authorship and legal strategy considerations,authorship and legal strategy considerations
ay,ay
bank,bank
bank appraisal,bank appraisal
bankruptcy auction,bankruptcy auction
bankruptcy proceeding real estate transaction,bankruptcy proceeding real estate transaction
billionaire clients,billionaire clients
billionaire involved in alleged incident with young girl,billionaire involved in alleged incident with young girl
billionaire pedophile compound in Virgin Islands,billionaire pedophile compound in Virgin Islands
billionaires,billionaires
birthday celebration description,birthday celebration description
"black Chevrolet Suburban, three black Mercedes Benz, turquoise Harley Davidson, 1972-chopper motorcycle","black Chevrolet Suburban, three black Mercedes Benz, turquoise Harley Davidson, 1972-chopper motorcycle"
black book diary,black book diary
black diary,black diary
black four-door Mercedes,black four-door Mercedes
book,book
book publication,book publication
briefing experience characterized by significant revelations,briefing experience characterized by significant revelations
"brother's apartment complex at 301 E 66 St, Manhattan","brother's apartment complex at 301 E 66 St, Manhattan"
"brother's apartment complex at 301 E 66th St, Manhattan","brother's apartment complex at 301 E 66th St, Manhattan"
budget management and business restructuring,budget management and business restructuring
business and social circles,business and social circles
business communications,business communications
business correspondence,business correspondence
business deal or project outcome,business deal or project outcome
campaign,campaign
campaign fundraising efforts,campaign fundraising efforts
campaign standings,campaign standings
cancer cell communication,cancer cell communication
cancer cure research,cancer cure research
case 31E-MM-108062,case 31E-MM-108062
celebratory and powerful attendees,celebratory and powerful attendees
charges (unspecified),charges (unspecified)
charitable status of funding recipient,charitable status of funding recipient
charitable tax policy loopholes,charitable tax policy loopholes
charter flight arrangement,charter flight arrangement
child locate investigation,child locate investigation
child rape and sexual abuse,child rape and sexual abuse
child rapist meets nitwits intellectual,child rapist meets nitwits intellectual
child sex trafficking and procurement of underage girls,child sex trafficking and procurement of underage girls
child sexual abuse and crimes,child sexual abuse and crimes
child sexual abuse and federal cover-up,child sexual abuse and federal cover-up
civil court,civil court
civil lawsuit,civil lawsuit
civil lawsuit against Edwards,civil lawsuit against Edwards
civil lawsuit and media article,civil lawsuit and media article
civil lawsuits by victims,civil lawsuits by victims
civil litigation,civil litigation
civil suit victims,civil suit victims
civil suits filed by young girls in Florida,civil suits filed by young girls in Florida
classified communications,classified communications
climate summit,climate summit
co-defendants,co-defendants
cocktail party,cocktail party
column_finishing_materials,column_finishing_materials
commercial charter flight,commercial charter flight
commercial flight backup for transportation,commercial flight backup for transportation
commercial flight backup while plane prepares,commercial flight backup while plane prepares
communication,communication
communication and attachments,communication and attachments
communication content,communication content
communication contents,communication contents
communication document,communication document
communication recipients,communication recipients
communication recipients and handlers,communication recipients and handlers
communication regarding New York plans,communication regarding New York plans
communication task,communication task
communication with Mike about media criticism,communication with Mike about media criticism
communications,communications
communications and attachments,communications and attachments
communications and correspondence,communications and correspondence
communications and documents,communications and documents
communications and information,communications and information
communications and proprietary information,communications and proprietary information
communications bearing JEE designation,communications bearing JEE designation
communications containing confidential information,communications containing confidential information
communications with Reid Weingarten,communications with Reid Weingarten
community control,community control
complaint filed by L.M.,complaint filed by L.M.
completed meeting opportunity,completed meeting opportunity
condoms,condoms
conference,conference
confidential communication,confidential communication
confidential communication document,confidential communication document
confidential communications and inside information,confidential communications and inside information
confidential document,confidential document
confidential email correspondence,confidential email correspondence
confidential information,confidential information
congressional subpoena,congressional subpoena
conspiracy theory article about Fort Knox gold reserves,conspiracy theory article about Fort Knox gold reserves
conspiracy theory article about Strauss-Kahn arrest,conspiracy theory article about Strauss-Kahn arrest
conspiracy to entice minors into prostitution,conspiracy to entice minors into prostitution
conspiracy to persuade minors to engage in prostitution and related charges,conspiracy to persuade minors to engage in prostitution and related charges
constitutional_argument,constitutional_argument
consumer digitization plans and product boycotts,consumer digitization plans and product boycotts
consumer policy discussion,consumer policy discussion
conversation participants,conversation participants
conversation_participants,conversation_participants
"corporate executives, real estate tycoons, university presidents, Nobel Prize winners, princes, ex-presidents, and heads of state","corporate executives, real estate tycoons, university presidents, Nobel Prize winners, princes, ex-presidents, and heads of state"
corporate jet,corporate jet
correspondent's email address with Tom Pritzker,correspondent's email address with Tom Pritzker
correspondent's membership in think tanks,correspondent's membership in think tanks
countries looted by exiled dictators,countries looted by exiled dictators
country leader,country leader
county jail,county jail
county stockade,county stockade
court,court
court authorities,court authorities
court deposition,court deposition
court record,court record
create new hacker group called red white and blue hats,create new hacker group called red white and blue hats
criminal case viability,criminal case viability
criminal charges,criminal charges
criminal justice system,criminal justice system
criminal material and allegations,criminal material and allegations
criminal penalties under law,criminal penalties under law
criminal trials and political debates,criminal trials and political debates
crisis communications professional,crisis communications professional
crisis management consultants,crisis management consultants
cryptocurrency,cryptocurrency
cryptocurrency investment,cryptocurrency investment
currency exchange markets,currency exchange markets
currency markets and China policy,currency markets and China policy
current day,current day
cybersecurity experts,cybersecurity experts
cybersecurity measures,cybersecurity measures
cybersecurity policy,cybersecurity policy
deal disruption regarding Trump,deal disruption regarding Trump
deal document,deal document
debt ceiling legislation,debt ceiling legislation
debt fund structure discussion,debt fund structure discussion
dental student,dental student
deposition,deposition
deposition proceedings,deposition proceedings
developer,developer
dinner event,dinner event
dinner event for President Clinton,dinner event for President Clinton
dinner with President Clinton,dinner with President Clinton
disadvantaged girls from single-parent families,disadvantaged girls from single-parent families
discovery proceedings,discovery proceedings
discovery requests,discovery requests
discussion meeting with communication method,discussion meeting with communication method
disputed payment claim,disputed payment claim
district court,district court
doctor,doctor
document communication,document communication
document or deal regarding Deutsche Bank,document or deal regarding Deutsche Bank
document recipients,document recipients
document_HOUSE_OVERSIGHT_032368,document_HOUSE_OVERSIGHT_032368
documentary narrative structure,documentary narrative structure
documentary project,documentary project
documentary release date,documentary release date
documentary team travel,documentary team travel
documentary/film project,documentary/film project
donor advised fund for billionaire philanthropists,donor advised fund for billionaire philanthropists
downtown West Palm Beach office,downtown West Palm Beach office
dozens of underage girls,dozens of underage girls
dozens of women (alleged underage victims),dozens of women (alleged underage victims)
dozens of young girls,dozens of young girls
driver for airport pickup,driver for airport pickup
"drugs, alcohol, threats, or coercion","drugs, alcohol, threats, or coercion"
duration of stay,duration of stay
early development and charter school programs,early development and charter school programs
early prison release and federal cooperation,early prison release and federal cooperation
early-stage life science ventures,early-stage life science ventures
economic and mathematical theory,economic and mathematical theory
economist movie description,economist movie description
ehbarak,ehbarak
eighteen months in state jail,eighteen months in state jail
electronic communications,electronic communications
email communication,email communication
email communication and attachments,email communication and attachments
email communications,email communications
email confidentiality disclaimer,email confidentiality disclaimer
email recipient,email recipient
email recipients,email recipients
email_recipient,email_recipient
email_recipients,email_recipients
emblem of movement,emblem of movement
employees or associates,employees or associates
end of patriarchy as political outcome,end of patriarchy as political outcome
enroute to meeting,enroute to meeting
entertainment/political activities,entertainment/political activities
enticing minors to engage in prostitution,enticing minors to engage in prostitution
erotic massage accusations,erotic massage accusations
erroneous communications,erroneous communications
establishing China as political enemy,establishing China as political enemy
estimation of Saudi fund involvement,estimation of Saudi fund involvement
evangelical advocate for China as enemy,evangelical advocate for China as enemy
event arrangements,event arrangements
evidence of abuse and victim information,evidence of abuse and victim information
"evolutionary biologists, neuroscientists, mathematicians, and computer scientists","evolutionary biologists, neuroscientists, mathematicians, and computer scientists"
explicit photographic material depicting minors,explicit photographic material depicting minors
exploitation concerns in filming project,exploitation concerns in filming project
extradition and pre-trial detention case,extradition and pre-trial detention case
extradition proceedings,extradition proceedings
extremist ideology,extremist ideology
fabricated claims,fabricated claims
fabricated fiction,fabricated fiction
false memories in social anxiety disorder,false memories in social anxiety disorder
false statements and contradictory claims,false statements and contradictory claims
family members and close friends,family members and close friends
fascism as efficient governance model,fascism as efficient governance model
father,father
federal and state authorities,federal and state authorities
federal court,federal court
federal court system,federal court system
federal crimes,federal crimes
federal investigation or intelligence matter,federal investigation or intelligence matter
federal investigators,federal investigators
federal nexus proof,federal nexus proof
federal non-prosecution agreement,federal non-prosecution agreement
federal plea bargain,federal plea bargain
federal prison,federal prison
federal prison system,federal prison system
federal prosecution,federal prosecution
federal prosecutorial strategy,federal prosecutorial strategy
federal sentencing requirements,federal sentencing requirements
federal sex-trafficking charges,federal sex-trafficking charges
federal suit against Ralph Cioffi and Matthew Tannin,federal suit against Ralph Cioffi and Matthew Tannin
federal_lawsuit,federal_lawsuit
feedback from French government officials regarding political strategy and geopolitical analysis,feedback from French government officials regarding political strategy and geopolitical analysis
feedback on content quality,feedback on content quality
felony charge of solicitation of prostitution,felony charge of solicitation of prostitution
felony prostitution charges,felony prostitution charges
felony solicitation,felony solicitation
felony solicitation of prostitution,felony solicitation of prostitution
felony solicitation of prostitution and procuring a person under 18,felony solicitation of prostitution and procuring a person under 18
felony solicitation of prostitution and procuring a person under 18 for prostitution,felony solicitation of prostitution and procuring a person under 18 for prostitution
felony solicitation of prostitution and procuring minor for prostitution,felony solicitation of prostitution and procuring minor for prostitution
felony solicitation of prostitution and procuring person under 18,felony solicitation of prostitution and procuring person under 18
felony solicitation of prostitution and procuring person under 18 for prostitution,felony solicitation of prostitution and procuring person under 18 for prostitution
felony solicitation of prostitution and procuring person under age 18,felony solicitation of prostitution and procuring person under age 18
felony solicitation of prostitution charge,felony solicitation of prostitution charge
female accuser,female accuser
feminists,feminists
film,film
film casting and face identification,film casting and face identification
film casting and press control,film casting and press control
film production,film production
film production project,film production project
film project,film project
filming interview for Italian television,filming interview for Italian television
filming materials,filming materials
filming plans,filming plans
filming session outcome,filming session outcome
filming time,filming time
financial advisor and influential 'rich whisperer',financial advisor and influential 'rich whisperer'
financial markets,financial markets
financial markets and currency exchange,financial markets and currency exchange
financial matter,financial matter
financial matters,financial matters
financial obligation,financial obligation
financial services industry,financial services industry
financial statement,financial statement
firearms simulator purchase,firearms simulator purchase
first Head Start program in the US Virgin Islands,first Head Start program in the US Virgin Islands
five young women,five young women
flight logs,flight logs
flight logs containing celebrity names,flight logs containing celebrity names
flight restrictions at Palm Beach International Airport,flight restrictions at Palm Beach International Airport
folks may view Mueller case as witch hunt,folks may view Mueller case as witch hunt
forced testimony and witness coercion,forced testimony and witness coercion
foreign countries to United States,foreign countries to United States
foreign entities,foreign entities
foreign espionage,foreign espionage
foreign policy briefing document,foreign policy briefing document
foreign underage girls,foreign underage girls
former employee,former employee
former girlfriend,former girlfriend
"former girlfriend (age 22-24 at time, currently 38)","former girlfriend (age 22-24 at time, currently 38)"
former girlfriend (unnamed),former girlfriend (unnamed)
former girlfriend as witness,former girlfriend as witness
former home of Iranian deputy consul general,former home of Iranian deputy consul general
former judges and FBI officials,former judges and FBI officials
four-engine speed boat,four-engine speed boat
friends to counsel him on behavior,friends to counsel him on behavior
full-time male masseur (former Ultimate Fighting champion),full-time male masseur (former Ultimate Fighting champion)
fund flow mechanisms,fund flow mechanisms
further discussion,further discussion
gender differences in cognitive abilities and motivation,gender differences in cognitive abilities and motivation
geopolitical and economic factors affecting real estate,geopolitical and economic factors affecting real estate
geopolitical commentary,geopolitical commentary
geopolitical events in Saudi Arabia,geopolitical events in Saudi Arabia
geopolitical expertise,geopolitical expertise
geopolitical strategy,geopolitical strategy
girl,girl
girlfriend's assessment,girlfriend's assessment
girls hired for massage services,girls hired for massage services
girls under legal age of sexual consent,girls under legal age of sexual consent
global currency markets as referendum on Trump,global currency markets as referendum on Trump
go to Monaco,go to Monaco
government,government
government authorities,government authorities
government formation,government formation
government officials,government officials
government-appointed attorney's daughter,government-appointed attorney's daughter
governmental event with ministers,governmental event with ministers
grand jury proceedings,grand jury proceedings
group of political advisors,group of political advisors
group of young women,group of young women
group sexual activity,group sexual activity
guests at social gathering,guests at social gathering
"hacker group (red, white and blue hats)","hacker group (red, white and blue hats)"
harassment scandals and reputation,harassment scandals and reputation
he lives in his biosphere,he lives in his biosphere
heat map data regarding Trump and Clinton,heat map data regarding Trump and Clinton
"helicopter, homes in New York and London, and Mercedes","helicopter, homes in New York and London, and Mercedes"
her marriage and departure,her marriage and departure
high-ranking Obama White House official,high-ranking Obama White House official
him,him
himself,himself
himself and associates,himself and associates
himself and others,himself and others
his Palm Beach home,his Palm Beach home
his aircraft,his aircraft
his allegations against Bradley Edwards,his allegations against Bradley Edwards
his behavior was inappropriate,his behavior was inappropriate
his current toxicity and political liability,his current toxicity and political liability
his daily abuse and molestation of children,his daily abuse and molestation of children
his girl will see George in Germany,his girl will see George in Germany
his home,his home
his legal case,his legal case
his legal proceedings,his legal proceedings
his own legal proceedings,his own legal proceedings
his residence,his residence
his residences,his residences
his sex offender registration level during appeal,his sex offender registration level during appeal
his sexual abuse of minors,his sexual abuse of minors
house arrest,house arrest
house arrest and became free man,house arrest and became free man
house property,house property
housed victims,housed victims
household staff member,household staff member
household staff member selection,household staff member selection
household staff members,household staff members
houseman,houseman
housing and vehicle,housing and vehicle
human trafficking prevention center,human trafficking prevention center
hyper-wealth and wealth management philosophy,hyper-wealth and wealth management philosophy
identified federal victims,identified federal victims
iii,iii
impact of media coverage on personal relationships,impact of media coverage on personal relationships
importance of early education for cognitive development,importance of early education for cognitive development
in-person interview,in-person interview
independent presidential candidate,independent presidential candidate
indirect contact with Tom Pritzker,indirect contact with Tom Pritzker
individuals named Barrack and HBJ as 'stars' of investigation,individuals named Barrack and HBJ as 'stars' of investigation
information about upcoming meetings including lunch with economist and council official,information about upcoming meetings including lunch with economist and council official
institutes and scientists,institutes and scientists
institutional independence,institutional independence
"intellectual history, world affairs, geopolitics, foundations of mathematics, plant communication","intellectual history, world affairs, geopolitics, foundations of mathematics, plant communication"
intended communication recipient,intended communication recipient
internal conflicts regarding Modi visit,internal conflicts regarding Modi visit
international business and mathematics,international business and mathematics
international leaders and business figures,international leaders and business figures
international media coverage,international media coverage
international meeting,international meeting
international meetings,international meetings
international political and business leaders,international political and business leaders
international political strategy,international political strategy
international sex operation,international sex operation
international underage sex ring,international underage sex ring
interstate commerce,interstate commerce
interstate commerce facility usage,interstate commerce facility usage
interview meeting,interview meeting
interview performance,interview performance
interview regarding media coverage,interview regarding media coverage
investigation,investigation
investigations,investigations
investment business operations,investment business operations
investment_opportunity,investment_opportunity
invitation text,invitation text
island,island
island filming location,island filming location
island property,island property
island visits,island visits
jail,jail
jeeitunes@gmail.com,jeeitunes@gmail.com
jeevacation@gmail.com,jeevacation@gmail.com
john la porta,john la porta
journalist,journalist
journalist (unnamed),journalist (unnamed)
judicial hearing testimony tactics,judicial hearing testimony tactics
jury trial,jury trial
katie johnson v trump complaint,katie johnson v trump complaint
key witnesses,key witnesses
knowledge of Alan Dershowitz,knowledge of Alan Dershowitz
lacrosse practice logistics,lacrosse practice logistics
